,price,highway-mpg,city-mpg,peak-rpm,horsepower,compression-ratio,stroke,bore,engine-size,num-of-cylinders,curb-weight,height,width,length,wheel-base,num-of-doors,normalized-losses,engine_efficiency,combined_mpg,engine_size_squared,horsepower_ordinal,engine_cylinders_interaction,fuel-system_1bbl,fuel-system_2bbl,fuel-system_4bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi,engine-type_dohc,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,engine-type_rotor,engine-location_front,engine-location_rear,drive-wheels_4wd,drive-wheels_fwd,drive-wheels_rwd,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,aspiration_std,aspiration_turbo,fuel-type_diesel,fuel-type_gas,make_alfa-romero,make_audi,make_bmw,make_chevrolet,make_dodge,make_honda,make_isuzu,make_jaguar,make_mazda,make_mercedes-benz,make_mercury,make_mitsubishi,make_nissan,make_peugot,make_plymouth,make_porsche,make_renault,make_saab,make_subaru,make_toyota,make_volkswagen,make_volvo
73,40960.0,16,14,4500.0,184.0,8.0,3.35,3.8,308,8,3900,56.7,71.7,208.1,120.9,4.0,115.0,0.5974025974025974,15.2,94864,2,2464,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
74,45400.0,16,14,4500.0,184.0,8.0,3.35,3.8,304,8,3715,55.4,72.0,199.2,112.0,2.0,115.0,0.6052631578947368,15.2,92416,2,2432,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
75,16503.0,24,19,5000.0,175.0,8.0,3.12,3.78,140,4,2910,54.8,68.0,178.4,102.7,2.0,115.0,1.25,22.0,19600,2,560,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
76,5389.0,41,37,5500.0,68.0,9.4,3.23,2.97,92,4,1918,50.8,64.4,157.3,93.7,2.0,161.0,0.7391304347826086,39.4,8464,1,368,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
77,6189.0,38,31,5500.0,68.0,9.4,3.23,2.97,92,4,1944,50.8,64.4,157.3,93.7,2.0,161.0,0.7391304347826086,35.2,8464,1,368,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
78,6669.0,38,31,5500.0,68.0,9.4,3.23,2.97,92,4,2004,50.8,64.4,157.3,93.7,2.0,161.0,0.7391304347826086,35.2,8464,1,368,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
79,7689.0,30,24,5500.0,102.0,7.6,3.39,3.03,98,4,2145,50.8,63.8,157.3,93.0,2.0,161.0,1.0408163265306123,27.6,9604,2,392,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
80,9959.0,30,23,5500.0,116.0,7.5,3.46,3.17,110,4,2370,49.4,65.4,173.0,96.3,2.0,153.0,1.0545454545454545,27.200000000000003,12100,2,440,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
81,8499.0,32,25,5000.0,88.0,8.5,3.46,3.35,122,4,2328,49.4,65.4,173.0,96.3,2.0,153.0,0.7213114754098361,29.2,14884,1,488,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
82,12629.0,24,19,5000.0,145.0,7.0,3.86,3.58,156,4,2833,50.2,66.3,173.2,95.9,2.0,115.0,0.9294871794871795,22.0,24336,2,624,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
83,14869.0,24,19,5000.0,145.0,7.0,3.86,3.59,156,4,2921,50.2,66.3,173.2,95.9,2.0,115.0,0.9294871794871795,22.0,24336,2,624,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
84,14489.0,24,19,5000.0,145.0,7.0,3.86,3.59,156,4,2926,50.2,66.3,173.2,95.9,2.0,115.0,0.9294871794871795,22.0,24336,2,624,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
85,6989.0,32,25,5000.0,88.0,8.5,3.46,3.35,122,4,2365,51.6,65.4,172.4,96.3,4.0,125.0,0.7213114754098361,29.2,14884,1,488,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
86,8189.0,32,25,5000.0,88.0,8.5,3.46,3.35,122,4,2405,51.6,65.4,172.4,96.3,4.0,125.0,0.7213114754098361,29.2,14884,1,488,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
87,9279.0,30,23,5500.0,116.0,7.5,3.46,3.17,110,4,2403,51.6,65.4,172.4,96.3,4.0,125.0,1.0545454545454545,27.200000000000003,12100,2,440,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
88,9279.0,30,23,5500.0,116.0,7.5,3.46,3.17,110,4,2403,51.6,65.4,172.4,96.3,4.0,137.0,1.0545454545454545,27.200000000000003,12100,2,440,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
89,5499.0,37,31,5200.0,69.0,9.4,3.29,3.15,97,4,1889,54.5,63.8,165.3,94.5,2.0,128.0,0.711340206185567,34.6,9409,1,388,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
90,7099.0,50,45,4800.0,55.0,21.9,3.47,2.99,103,4,2017,54.5,63.8,165.3,94.5,2.0,128.0,0.5339805825242718,48.0,10609,1,412,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
91,6649.0,37,31,5200.0,69.0,9.4,3.29,3.15,97,4,1918,54.5,63.8,165.3,94.5,2.0,128.0,0.711340206185567,34.6,9409,1,388,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
92,6849.0,37,31,5200.0,69.0,9.4,3.29,3.15,97,4,1938,54.5,63.8,165.3,94.5,4.0,122.0,0.711340206185567,34.6,9409,1,388,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
93,7349.0,37,31,5200.0,69.0,9.4,3.29,3.15,97,4,2024,53.5,63.8,170.2,94.5,4.0,103.0,0.711340206185567,34.6,9409,1,388,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
94,7299.0,37,31,5200.0,69.0,9.4,3.29,3.15,97,4,1951,54.5,63.8,165.3,94.5,2.0,128.0,0.711340206185567,34.6,9409,1,388,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
95,7799.0,37,31,5200.0,69.0,9.4,3.29,3.15,97,4,2028,53.3,63.8,165.6,94.5,2.0,128.0,0.711340206185567,34.6,9409,1,388,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
96,7499.0,37,31,5200.0,69.0,9.4,3.29,3.15,97,4,1971,54.5,63.8,165.3,94.5,4.0,122.0,0.711340206185567,34.6,9409,1,388,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
97,7999.0,37,31,5200.0,69.0,9.4,3.29,3.15,97,4,2037,53.5,63.8,170.2,94.5,4.0,103.0,0.711340206185567,34.6,9409,1,388,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
98,8249.0,37,31,5200.0,69.0,9.4,3.29,3.15,97,4,2008,53.3,63.8,162.4,95.1,2.0,168.0,0.711340206185567,34.6,9409,1,388,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
99,8949.0,34,27,5200.0,97.0,8.5,3.47,3.33,120,4,2324,54.7,65.2,173.4,97.2,4.0,106.0,0.8083333333333333,31.2,14400,1,480,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
100,9549.0,34,27,5200.0,97.0,8.5,3.47,3.33,120,4,2302,54.7,65.2,173.4,97.2,4.0,106.0,0.8083333333333333,31.2,14400,1,480,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
101,13499.0,22,17,5200.0,152.0,9.0,3.27,3.43,181,6,3095,55.1,66.5,181.7,100.4,4.0,128.0,0.8397790055248618,20.0,32761,2,1086,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
102,14399.0,22,17,5200.0,152.0,9.0,3.27,3.43,181,6,3296,56.1,66.5,184.6,100.4,4.0,108.0,0.8397790055248618,20.0,32761,2,1086,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
103,13499.0,25,19,5200.0,152.0,9.0,3.27,3.43,181,6,3060,55.1,66.5,184.6,100.4,4.0,108.0,0.8397790055248618,22.6,32761,2,1086,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
104,17199.0,25,19,5200.0,160.0,9.0,3.27,3.43,181,6,3071,49.7,67.9,170.7,91.3,2.0,194.0,0.8839779005524862,22.6,32761,2,1086,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
105,19699.0,23,17,5200.0,200.0,7.8,3.27,3.43,181,6,3139,49.7,67.9,170.7,91.3,2.0,194.0,1.1049723756906078,20.6,32761,2,1086,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
106,18399.0,25,19,5200.0,160.0,9.0,3.27,3.43,181,6,3139,49.7,67.9,178.5,99.2,2.0,231.0,0.8839779005524862,22.6,32761,2,1086,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
107,11900.0,24,19,5000.0,97.0,8.4,3.19,3.46,120,4,3020,56.7,68.4,186.7,107.9,4.0,161.0,0.8083333333333333,22.0,14400,1,480,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
108,13200.0,33,28,4150.0,95.0,21.0,3.52,3.7,152,4,3197,56.7,68.4,186.7,107.9,4.0,161.0,0.625,31.0,23104,1,608,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
109,12440.0,24,19,5000.0,97.0,8.4,3.19,3.46,120,4,3230,58.7,68.4,198.9,114.2,4.0,115.0,0.8083333333333333,22.0,14400,1,480,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
110,13860.0,25,25,4150.0,95.0,21.0,3.52,3.7,152,4,3430,58.7,68.4,198.9,114.2,4.0,115.0,0.625,25.0,23104,1,608,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
111,15580.0,24,19,5000.0,95.0,8.4,2.19,3.46,120,4,3075,56.7,68.4,186.7,107.9,4.0,161.0,0.7916666666666666,22.0,14400,1,480,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
112,16900.0,33,28,4150.0,95.0,21.0,3.52,3.7,152,4,3252,56.7,68.4,186.7,107.9,4.0,161.0,0.625,31.0,23104,1,608,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
113,16695.0,24,19,5000.0,95.0,8.4,2.19,3.46,120,4,3285,56.7,68.4,198.9,114.2,4.0,115.0,0.7916666666666666,22.0,14400,1,480,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
114,17075.0,25,25,4150.0,95.0,21.0,3.52,3.7,152,4,3485,58.7,68.4,198.9,114.2,4.0,115.0,0.625,25.0,23104,1,608,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
115,16630.0,24,19,5000.0,97.0,8.4,3.19,3.46,120,4,3075,56.7,68.4,186.7,107.9,4.0,161.0,0.8083333333333333,22.0,14400,1,480,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
116,17950.0,33,28,4150.0,95.0,21.0,3.52,3.7,152,4,3252,56.7,68.4,186.7,107.9,4.0,161.0,0.625,31.0,23104,1,608,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
117,18150.0,24,18,5600.0,142.0,7.0,3.21,3.61,134,4,3130,56.0,68.3,186.7,108.0,4.0,161.0,1.0597014925373134,21.599999999999998,17956,2,536,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
118,5572.0,41,37,5500.0,68.0,9.4,3.23,2.97,90,4,1918,50.8,63.8,157.3,93.7,2.0,119.0,0.7555555555555555,39.4,8100,1,360,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
119,7957.0,30,24,5500.0,102.0,7.6,3.39,3.03,98,4,2128,50.8,63.8,157.3,93.7,2.0,119.0,1.0408163265306123,27.6,9604,2,392,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
120,6229.0,38,31,5500.0,68.0,9.4,3.23,2.97,90,4,1967,50.6,63.8,157.3,93.7,4.0,154.0,0.7555555555555555,35.2,8100,1,360,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
121,6692.0,38,31,5500.0,68.0,9.4,3.23,2.97,90,4,1989,50.8,63.8,167.3,93.7,4.0,154.0,0.7555555555555555,35.2,8100,1,360,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
122,7609.0,38,31,5500.0,68.0,9.4,3.23,2.97,98,4,2191,50.8,63.8,167.3,93.7,4.0,154.0,0.6938775510204082,35.2,9604,1,392,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
123,8921.0,30,24,5000.0,88.0,8.5,3.46,3.35,122,4,2535,59.8,64.6,174.6,103.3,4.0,74.0,0.7213114754098361,27.6,14884,1,488,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
124,12764.0,24,19,5000.0,145.0,7.0,3.86,3.59,156,4,2818,50.2,66.3,173.2,95.9,2.0,115.0,0.9294871794871795,22.0,24336,2,624,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
125,22018.0,27,19,5500.0,143.0,9.5,3.11,3.94,151,4,2778,50.2,68.3,168.9,94.5,2.0,186.0,0.9470198675496688,23.8,22801,2,604,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
126,32528.0,25,17,5900.0,207.0,9.5,2.9,3.74,194,6,2756,51.6,65.0,168.9,89.5,2.0,115.0,1.0670103092783505,21.8,37636,3,1164,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
127,34028.0,25,17,5900.0,207.0,9.5,2.9,3.74,194,6,2756,51.6,65.0,168.9,89.5,2.0,115.0,1.0670103092783505,21.8,37636,3,1164,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
128,37028.0,25,17,5900.0,207.0,9.5,2.9,3.74,194,6,2800,51.6,65.0,168.9,89.5,2.0,115.0,1.0670103092783505,21.8,37636,3,1164,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
130,9295.0,31,23,5200.0,95.0,8.7,3.9,3.46,132,4,2579,55.2,66.5,181.5,96.1,4.0,115.0,0.7196969696969697,27.799999999999997,17424,1,528,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
131,9895.0,31,23,5200.0,95.0,8.7,3.9,3.46,132,4,2460,50.5,66.6,176.8,96.1,2.0,115.0,0.7196969696969697,27.799999999999997,17424,1,528,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
132,11850.0,28,21,5250.0,110.0,9.31,3.07,3.54,121,4,2658,56.1,66.5,186.6,99.1,2.0,150.0,0.9090909090909091,25.200000000000003,14641,2,484,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
133,12170.0,28,21,5250.0,110.0,9.3,3.07,3.54,121,4,2695,56.1,66.5,186.6,99.1,4.0,104.0,0.9090909090909091,25.200000000000003,14641,2,484,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
134,15040.0,28,21,5250.0,110.0,9.3,2.07,2.54,121,4,2707,56.1,66.5,186.6,99.1,2.0,150.0,0.9090909090909091,25.200000000000003,14641,2,484,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
135,15510.0,28,21,5250.0,110.0,9.3,3.07,3.54,121,4,2758,56.1,66.5,186.6,99.1,4.0,104.0,0.9090909090909091,25.200000000000003,14641,2,484,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
136,18150.0,26,19,5500.0,160.0,9.0,3.07,3.54,121,4,2808,56.1,66.5,186.6,99.1,2.0,150.0,1.322314049586777,23.2,14641,2,484,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
137,18620.0,26,19,5500.0,160.0,9.0,3.07,3.54,121,4,2847,56.1,66.5,186.6,99.1,4.0,104.0,1.322314049586777,23.2,14641,2,484,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
138,5118.0,36,31,4900.0,69.0,9.0,2.36,3.62,97,4,2050,53.7,63.4,156.9,93.7,2.0,83.0,0.711340206185567,34.0,9409,1,388,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
139,7053.0,31,26,4400.0,73.0,8.7,2.64,3.62,108,4,2120,53.7,63.6,157.9,93.7,2.0,83.0,0.6759259259259259,29.0,11664,1,432,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
140,7603.0,31,26,4400.0,73.0,8.7,2.64,3.62,108,4,2240,55.7,63.8,157.3,93.3,2.0,83.0,0.6759259259259259,29.0,11664,1,432,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
141,7126.0,37,32,4800.0,82.0,9.5,2.64,3.62,108,4,2145,52.5,65.4,172.0,97.2,4.0,102.0,0.7592592592592593,35.0,11664,1,432,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
142,7775.0,33,28,4400.0,82.0,9.5,2.64,3.62,108,4,2190,52.5,65.4,172.0,97.2,4.0,102.0,0.7592592592592593,31.0,11664,1,432,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
143,9960.0,32,26,5200.0,94.0,9.0,2.64,3.62,108,4,2340,52.5,65.4,172.0,97.2,4.0,102.0,0.8703703703703703,29.6,11664,1,432,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
144,9233.0,25,24,4800.0,82.0,9.0,2.64,3.62,108,4,2385,54.3,65.4,172.0,97.0,4.0,102.0,0.7592592592592593,24.6,11664,1,432,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
145,11259.0,29,24,4800.0,111.0,7.7,2.64,3.62,108,4,2510,54.3,65.4,172.0,97.0,4.0,102.0,1.0277777777777777,27.0,11664,2,432,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
146,7463.0,32,28,4800.0,82.0,9.0,2.64,3.62,108,4,2290,53.0,65.4,173.5,97.0,4.0,89.0,0.7592592592592593,30.4,11664,1,432,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
